Name,Quantity,Cost (USD),Seller,Link
2020 T slot 500mm,1,48.59,Temu,https://www.temu.com/au/v-slot-2020-extrusion-profile-european-standard-anodized-black-linear-rail-for-3d-printer-cnc-g-601101427050232.html?_oak_mp_inf=EPiNoqit1ogBGiA4Y2RiOTY5ZjRmZGQ0Yjg5YTJkY2NhMzU2ODE3YWNkMCCR5%2B%2BIyzM%3D&top_gallery_url=https%3A%2F%2Fimg.kwcdn.com%2Fproduct%2Ffancy%2F6e00a9eb-41ac-4035-ba05-4b7aa1f11724.jpg&spec_gallery_id=8905434329&refer_page_sn=10009&freesia_scene=2&_oak_freesia_scene=2&_oak_rec_ext_1=NDI4NQ&_oak_gallery_order=1858518428&search_key=v%20slot%202020%20profile%20with%20european&refer_page_el_sn=200049&refer_page_name=search_result&refer_page_id=10009_1772497881102_kbsxpsvmkv&_x_sessn_id=3fba3il8vi
2020 T slot 500mm,1,21.91,Temu,https://www.temu.com/au/-slot-aluminum-extrusion-multiple-specifications-european-standard-extruded-aluminum-rail-black-aluminum-profile-for-cnc-diy-3d-printer-and-industrial-bracket-making-g-601103382061264.html?top_gallery_url=https%3A%2F%2Fimg.kwcdn.com%2Fproduct%2Ffancy%2F39d55fbd-def3-4c34-8261-a0031a633256.jpg&sku_id=17609522943887&refer_page_sn=10009&freesia_scene=2&_oak_freesia_scene=2&_oak_rec_ext_1=MjY1Mw&_oak_gallery_order=1491050702%2C681486580%2C1137477876%2C1782674448%2C727096878&search_key=v%20slot%202020%20profile%20500mm&refer_page_el_sn=200049&refer_page_name=search_result&refer_page_id=10009_1772497881102_kbsxpsvmkv&_x_sessn_id=3fba3il8vi
Linear rails,3,46.41,Temu,https://www.temu.com/au/400mm-450mm-mgn12hminiature-linear-slide--block-for-cnc-diy-g-601100859823183.html?top_gallery_url=https%3A%2F%2Fimg.kwcdn.com%2Fproduct%2Ffancy%2F59edceea-f1b9-45c2-855a-1d4d7e7ea0d9.jpg&sku_id=17597447316774&refer_page_sn=10009&freesia_scene=2&_oak_freesia_scene=2&_oak_rec_ext_1=MjE4MA&_oak_gallery_order=726320763%2C1701735871&search_key=mgn12h&refer_page_el_sn=200049&_x_sessn_id=3fba3il8vi&refer_page_name=search_result&refer_page_id=10009_1772498166656_g79jqgz90s
PSU 600W 24v,1,25.09,Aliexpress,https://www.aliexpress.com/item/1005010376385581.html?spm=a2g0o.productlist.main.1.433b5330HyWyh6&algo_pvid=57a3053c-cd00-4e2c-959f-b1315a3339e8&algo_exp_id=57a3053c-cd00-4e2c-959f-b1315a3339e8-0&pdp_ext_f=%7B%22order%22%3A%222293%22%2C%22eval%22%3A%221%22%2C%22orig_sl_item_id%22%3A%221005010376385581%22%2C%22orig_item_id%22%3A%221005010130797577%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21AUD%2156.77%218.96%21%21%21272.68%2143.06%21%402101e83017724982423757183ee297%2112000053303189861%21sea%21AU%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3A7206fb8d%3Bm03_new_user%3A-29895%3BpisId%3A5000000197843401&curPageLogUid=JwgqBMkHSsyA&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005010376385581%7C_p_origin_prod%3A1005010130797577
A4988 Stepper drivers,6,4.41,Aliexpress,https://www.aliexpress.com/item/1005009016281152.html?spm=a2g0o.productlist.main.4.7aa424b0CMjCNx&aem_p4p_detail=202603071943091420482271141520001197995&algo_pvid=aba4d1bc-8a6a-4b9f-8358-3add19d72fe5&algo_exp_id=aba4d1bc-8a6a-4b9f-8358-3add19d72fe5-3&pdp_ext_f=%7B%22order%22%3A%22551%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21AUD%219.56%216.67%21%21%2145.74%2131.91%21%402101e83017729413897363157eb8c6%2112000049394621910%21sea%21AU%217347437705%21X%211%210%21n_tag%3A-29911%3Bd%3A6fbdfe4b%3Bm03_new_user%3A-29895%3BpisId%3A5000000197973911&curPageLogUid=EQfDdEY5copl&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005009016281152%7C_p_origin_prod%3A&search_p4p_id=202603071943091420482271141520001197995_1
ACM Sheet,1,67.41,Plastix.com.au ,https://plastix.com.au/product/aluminium-composite-panels/
Nema 17 motors,6,44.7,Temu,https://www.temu.com/au/--17-stepper-stepping--control-2--8-degree-0-9a-0--42mm-with-90cm-lead-cable-3d-printer-cnc-accessory-replacement-g-601099643201655.html?top_gallery_url=https%3A%2F%2Fimg.kwcdn.com%2Fproduct%2F56790422%2F49dd4672-40db-4c07-865e-8c24f81d8be3%2F0a0f7260a37473e196cad8af47ae30f2.jpeg&sku_id=17592690406295&refer_page_sn=10009&freesia_scene=2&_oak_freesia_scene=2&_oak_rec_ext_1=MTA5OQ&_oak_gallery_order=1318418388&search_query=nema%2017&search_key=nema%2017&refer_page_el_sn=200049&ab_scene=1&enable_vqr=0&_x_sessn_id=pd1yq8sl3k&refer_page_name=search_result&refer_page_id=10009_1772941496752_ee30qdzfuj
Hotend,1,18.61,Aliexpress,https://www.aliexpress.com/item/1005011544254510.html?spm=a2g0o.productlist.main.4.55401774XrFCf0&aem_p4p_detail=2026030216432812013635496823040000267715&algo_pvid=05a3ad54-5308-466c-b2d4-3573cd6fd4ac&algo_exp_id=05a3ad54-5308-466c-b2d4-3573cd6fd4ac-3&pdp_ext_f=%7B%22order%22%3A%224%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21AUD%212.76%211.41%21%21%2113.25%216.77%21%40210325a917724986086146263ee615%2112000055877534883%21sea%21AU%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3A7206fb8d%3Bm03_new_user%3A-29895%3BpisId%3A5000000197843401&curPageLogUid=BvUoaPAx7sAc&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005011544254510%7C_p_origin_prod%3A&search_p4p_id=2026030216432812013635496823040000267715_1#nav-description
GT2 belt kit,1,3.98,Aliexpress,https://www.aliexpress.com/ssr/300000512/BundleDeals2?spm=a2g0o.productlist.main.24.2c737074QPpGFo&productIds=1005009939779429:12000050632270083&pha_manifest=ssr&_immersiveMode=true&disableNav=YES&sourceName=SEARCHProduct&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005009939779429%7C_p_origin_prod%3A&pvid=1bf87d12-f355-4c87-a2f1-15cdaf1019a4
GT2 idle pulleys,6,11.26,,https://www.aliexpress.com/item/32726309946.html?spm=a2g0o.productlist.main.2.2c737074QPpGFo&algo_pvid=b5c40090-34a2-4c47-82ef-035ce5f037f3&algo_exp_id=b5c40090-34a2-4c47-82ef-035ce5f037f3-1&pdp_ext_f=%7B%22order%22%3A%221459%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21AUD%215.90%212.53%21%21%214.09%211.76%21%4021030a6217729456571765371e5964%2110000010529679064%21sea%21AU%217347437705%21X%211%210%21n_tag%3A-29911%3Bd%3A6fbdfe4b%3Bm03_new_user%3A-29895%3BpisId%3A5000000197973911&curPageLogUid=s9gJ1nEqGah6&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A32726309946%7C_p_origin_prod%3A
Leadscrew nut,,5.73,,https://www.aliexpress.com/item/1005007426377000.html?spm=a2g0o.productlist.main.18.43285c65mm6bbq&aem_p4p_detail=202603072017442536117175670700001172718&algo_pvid=31daa9aa-52b6-4357-b5b5-d7155e0ba240&algo_exp_id=31daa9aa-52b6-4357-b5b5-d7155e0ba240-15&pdp_ext_f=%7B%22order%22%3A%22988%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21AUD%214.83%214.83%21%21%2123.12%2123.12%21%402101f54117729434641131157ea944%2112000040715633179%21sea%21AU%217347437705%21X%211%210%21n_tag%3A-29911%3Bd%3A6fbdfe4b%3Bm03_new_user%3A-29895&curPageLogUid=KztTRlkqc5xc&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005007426377000%7C_p_origin_prod%3A&search_p4p_id=202603072017442536117175670700001172718_4
LM8UU,3,5.65,Aliexpress,https://www.aliexpress.com/ssr/300000512/BundleDeals2?spm=a2g0o.productlist.main.1.98fa17d9l9WyQr&productIds=1005007009945187:12000039048290061&pha_manifest=ssr&_immersiveMode=true&disableNav=YES&sourceName=SEARCHProduct&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005007009945187%7C_p_origin_prod%3A1005005167829998&pvid=54ac8b5d-666e-406b-8c56-43c2f1158d20 
Leadscrew,3,14.63,Aliexpress,https://www.aliexpress.com/item/32842315406.html?spm=a2g0o.productlist.main.1.62de7039TEhIGk&algo_pvid=1bf3e09c-7443-4f5c-b686-a5519f0eb7a9&algo_exp_id=1bf3e09c-7443-4f5c-b686-a5519f0eb7a9-0&pdp_ext_f=%7B%22order%22%3A%22105%22%2C%22spu_best_type%22%3A%22price%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21AUD%2111.28%219.59%21%21%217.82%216.65%21%4021033d1217729446375642221ecb48%2166723188554%21sea%21AU%217347437705%21X%211%210%21n_tag%3A-29911%3Bd%3A6fbdfe4b%3Bm03_new_user%3A-29895&curPageLogUid=Lj1WHYzwwfAf&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A32842315406%7C_p_origin_prod%3A
8mm smooth rod,3,23.11,Aliexpress,https://www.temu.com/au/2pcs-8mm-surface-hardened-chrome-plated-linear-motion-rods-suitable-for-3d-printers-and-cnc-machines-with-metric-h8-tolerance-g-601102888300374.html?top_gallery_url=https%3A%2F%2Fimg.kwcdn.com%2Fproduct%2Ffancy%2F53bb203c-399b-43c4-9701-de8b3aa14b9d.jpg&sku_id=17606916712258&refer_page_sn=10009&freesia_scene=2&_oak_freesia_scene=2&_oak_rec_ext_1=MjMwOA&_oak_gallery_order=1802782788&search_query=8mm%20smooth%20rod&search_key=8mm%20smooth%20rod&refer_page_el_sn=200049&ab_scene=1&enable_vqr=0&refer_page_name=search_result&refer_page_id=10009_1772943713751_zfmz9pr2h3&_x_sessn_id=pd1yq8sl3k 
Shaft coupler,3,4.31,Temu,https://www.temu.com/goods.html?_bg_fs=1&goods_id=601104056754749&sku_id=17612924750805&_oak_page_source=501&_x_sessn_id=pd1yq8sl3k&refer_page_name=shopping_cart&refer_page_id=10037_1772941539476_kshf7egkw6&refer_page_sn=10037
Print bed,1,84.46,Aliexpress,https://www.aliexpress.com/item/1005004904564882.html?spm=a2g0o.productlist.main.2.7545ONZPONZPAu&algo_pvid=091a2e87-1962-402d-9d34-b0f9d43ed3ca&algo_exp_id=091a2e87-1962-402d-9d34-b0f9d43ed3ca-1&pdp_ext_f=%7B%22order%22%3A%229%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21AUD%2163.88%2160.69%21%21%2144.26%2142.05%21%402101f70717729445652341176efcba%2112000030968139841%21sea%21AU%217347437705%21X%211%210%21n_tag%3A-29911%3Bd%3A6fbdfe4b%3Bm03_new_user%3A-29895&curPageLogUid=f03Q0O5hSev7&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005004904564882%7C_p_origin_prod%3A
Polycarbonate sheet,1,30.05,Bunnings,https://www.bunnings.com.au/suntuf-400-x-400-x-8mm-clear-palsun-polycarbonate-sheet-8mm_p1010483 
Display,1,25.05,Aliexpress,https://www.aliexpress.com/item/1005007344825706.html?spm=a2g0o.productlist.main.10.19c0501dxJzSEn&algo_pvid=bdeac4c7-e280-4374-affc-9b10bf2dc445&algo_exp_id=bdeac4c7-e280-4374-affc-9b10bf2dc445-9&pdp_ext_f=%7B%22order%22%3A%22897%22%2C%22eval%22%3A%221%22%2C%22orig_sl_item_id%22%3A%221005007344825706%22%2C%22orig_item_id%22%3A%221005006347407998%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21AUD%2177.37%2135.59%21%21%21370.19%21170.29%21%402103212517729418332954464e27f6%2112000040353976213%21sea%21AU%217347437705%21X%211%210%21n_tag%3A-29911%3Bd%3A6fbdfe4b%3Bm03_new_user%3A-29895&curPageLogUid=YWGV4WYamG1y&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005007344825706%7C_p_origin_prod%3A1005006347407998
Arduino mega,1,14.19,Aliexpress,https://www.aliexpress.com/item/32850843888.html?spm=a2g0o.productlist.main.1.182b2a90N5TYIa&algo_pvid=d5ea1b24-4281-46ca-b77c-4a8fa0739f9c&algo_exp_id=d5ea1b24-4281-46ca-b77c-4a8fa0739f9c-0&pdp_ext_f=%7B%22order%22%3A%221129%22%2C%22spu_best_type%22%3A%22price%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21AUD%2115.69%2115.69%21%21%2110.98%2110.98%21%402101ee6617725038885376639e8fb5%2110000001895815057%21sea%21AU%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3A7206fb8d%3Bm03_new_user%3A-29895&curPageLogUid=cBudN4h7AxQX&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A32850843888%7C_p_origin_prod%3A
Ceramic caps,6,5.2,Aliexpress,https://www.aliexpress.com/item/1005009938373275.html?spm=a2g0o.productlist.main.3.7cf57121QEF99g&algo_pvid=ea787f88-953c-492a-9aab-13064a96158f&algo_exp_id=ea787f88-953c-492a-9aab-13064a96158f-2&pdp_ext_f=%7B%22order%22%3A%22174%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21AUD%2111.96%212.73%21%21%2157.24%2113.07%21%402103274e17729422473532459e51ca%2112000050630167302%21sea%21AU%217347437705%21X%211%210%21n_tag%3A-29911%3Bd%3A6fbdfe4b%3Bm03_new_user%3A-29895%3BpisId%3A5000000197973911&curPageLogUid=zfWBO91I8wny&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005009938373275%7C_p_origin_prod%3A
Electrolytic caps,6,2.41,Aliexpress,https://www.aliexpress.com/item/1005008942188885.html?spm=a2g0o.productlist.main.4.2ae2OeH3OeH3lJ&aem_p4p_detail=20260307200334667323133197280001178016&algo_pvid=78de8f55-a9c5-495c-9a21-2da48b5bbad2&algo_exp_id=78de8f55-a9c5-495c-9a21-2da48b5bbad2-3&pdp_ext_f=%7B%22order%22%3A%221380%22%2C%22spu_best_type%22%3A%22price%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21AUD%212.19%211.43%21%21%2110.48%216.84%21%402101e07217729426145038723ec868%2112000047295141036%21sea%21AU%217347437705%21X%211%210%21n_tag%3A-29911%3Bd%3A6fbdfe4b%3Bm03_new_user%3A-29895%3BpisId%3A5000000197973911&curPageLogUid=p1oY6CtaGzPP&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005008942188885%7C_p_origin_prod%3A&search_p4p_id=20260307200334667323133197280001178016_1
Fuse,2,1.7,Aliexpress,https://www.aliexpress.com/item/1005005182079397.html?spm=a2g0o.productlist.main.3.581e487dDxPF3U&algo_pvid=0e01c813-41e4-4b70-8435-adbc9819744c&algo_exp_id=0e01c813-41e4-4b70-8435-adbc9819744c-2&pdp_ext_f=%7B%22order%22%3A%22701%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21AUD%214.82%211.93%21%21%2123.08%219.25%21%402103212b17729441740022877e0383%2112000040889150142%21sea%21AU%217347437705%21X%211%210%21n_tag%3A-29911%3Bd%3A6fbdfe4b%3Bm03_new_user%3A-29895%3BpisId%3A5000000197973911&curPageLogUid=wSieFcrCi1xQ&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005005182079397%7C_p_origin_prod%3A